language,dim,prune_height,phonType,pearsonR_with_semSim,p-value
BSL,100d,8,LOC,0.2567070569153759,0.0002812713783843269
BSL,100d,9,ENTIRE,0.41320065008423845,3.211502855090454e-07
BSL,100d,9,HS,0.3902299998079092,1.580662648756759e-06
BSL,100d,9,MOV,0.1842183804308895,0.028190087138854687
BSL,100d,9,LOC,0.3239932173062307,8.377471159499239e-05
BSL,100d,10,ENTIRE,0.3594344222015279,0.00014339796157372036
BSL,100d,10,HS,0.3602254263380607,0.0001382886033668821
BSL,100d,10,MOV,0.22960384910488105,0.017358728116747258
BSL,100d,10,LOC,0.2492148735539516,0.009636730725906375
BSL,100d,11,ENTIRE,0.4651008037154316,1.0705498391664766e-05
BSL,100d,11,HS,0.45208386532002776,2.010956297346457e-05
BSL,100d,11,MOV,0.34179717623608125,0.0016733003304607872
BSL,100d,11,LOC,0.3453958462654573,0.0014824863361403672
BSL,100d,12,ENTIRE,0.35745443703535096,0.003734714630579127
BSL,100d,12,HS,0.4217483350507321,0.0005186719240363928
BSL,100d,12,MOV,0.15037583919800812,0.2356006359763076
BSL,100d,12,LOC,0.20325671934771558,0.10720799916004096
BSL,200d,2,ENTIRE,-0.5409162990413837,0.20993172097263385
BSL,200d,2,HS,-0.48080192403360866,0.274741783017762
BSL,200d,2,MOV,-0.09234869098367854,0.8438916518167561
BSL,200d,2,LOC,-0.722020036656039,0.06691885282473217
BSL,200d,3,ENTIRE,-0.03896012409260731,0.8599066964917339
BSL,200d,3,HS,-0.016304771019507662,0.9411385881580796
BSL,200d,3,MOV,0.10127671479899064,0.6456559590757243
BSL,200d,3,LOC,-0.09192975079891505,0.6765477511570765
BSL,200d,4,ENTIRE,0.11134745476768713,0.40959920474918204
BSL,200d,4,HS,0.049736929448730934,0.713310273903084
BSL,200d,4,MOV,0.1857220752327309,0.1666116321237852
BSL,200d,4,LOC,0.0929625077569635,0.49158254631781856
BSL,200d,5,ENTIRE,0.07533085119904157,0.36119818871216064
BSL,200d,5,HS,0.03973804217455595,0.6303959470555682
BSL,200d,5,MOV,0.084787196650153,0.30390467316583064
BSL,200d,5,LOC,0.08221093822958084,0.31888616217029764
BSL,200d,6,ENTIRE,0.09197010579707272,0.10380847385818812
BSL,200d,6,HS,0.11184860142521297,0.047672572024108496
BSL,200d,6,MOV,-0.03036801601507084,0.5918893450512609
BSL,200d,6,LOC,0.08655373660704435,0.12589480355848554
BSL,200d,7,ENTIRE,0.15378516719721794,0.0013984088450053808
BSL,200d,7,HS,0.15530643974748953,0.0012510781941858405
BSL,200d,7,MOV,0.06615417521199864,0.17140383053024397
BSL,200d,7,LOC,0.10571867170497659,0.028565713156739697
BSL,200d,8,ENTIRE,0.07702264263704052,0.1510383919607608
BSL,200d,8,HS,0.08639426550582549,0.10713579303672463
BSL,200d,8,MOV,0.1024934824222272,0.05575990580960366
BSL,200d,8,LOC,0.01654330729893618,0.7581075912023033
BSL,200d,9,ENTIRE,0.08106821274080654,0.20326339962067994
BSL,200d,9,HS,0.07368202821543314,0.24765837427556212
BSL,200d,9,MOV,0.06322871377013897,0.32134927473660846
BSL,200d,9,LOC,0.05585759537739073,0.38109183194380997
BSL,200d,10,ENTIRE,0.20594612532992349,0.006720605155544081
BSL,200d,10,HS,0.15004098697566645,0.04946565176205484
BSL,200d,10,MOV,0.052794480077536045,0.4915635094333499
BSL,200d,10,LOC,0.19706349312711777,0.009567612138087624
BSL,200d,11,ENTIRE,0.32203408842785897,0.00026494627091123735
BSL,200d,11,HS,0.26988418369371914,0.0024348398140863975
BSL,200d,11,MOV,0.11878566828578924,0.18884541282953152
BSL,200d,11,LOC,0.2946546192487379,0.0008938253959308948
BSL,200d,12,ENTIRE,0.3882894592818725,7.791228508967762e-05
BSL,200d,12,HS,0.3690359463992368,0.00018454517978083127
BSL,200d,12,MOV,0.2595359792388273,0.009860245438053809
BSL,200d,12,LOC,0.28593712585358677,0.004315070093926511
BSL,300d,2,ENTIRE,-0.44536087478221426,0.31662670698521317
BSL,300d,2,HS,-0.4579711084305107,0.3014236210439539
BSL,300d,2,MOV,-0.3277760736402219,0.4729536691184115
BSL,300d,2,LOC,-0.40729986139555874,0.36444316777598107
BSL,300d,3,ENTIRE,-0.11245197607960247,0.7420142934869804
BSL,300d,3,HS,-0.0646769863674596,0.8501510097414504
BSL,300d,3,MOV,-0.06298040643079694,0.8540449618545136
BSL,300d,3,LOC,-0.07662982071588492,0.8228066116063237
BSL,300d,4,ENTIRE,-0.12116099850492801,0.4881044588863246
