language,dim,prune_height,cluster_N,silhouette_score
ASL,200d,43,2,0.048320126864539056
ASL,200d,44,2,0.048320126864539056
ASL,200d,45,2,0.048320126864539056
ASL,200d,46,2,0.048320126864539056
ASL,200d,47,2,0.048320126864539056
ASL,200d,48,2,0.048320126864539056
ASL,200d,49,2,0.048320126864539056
ASL,200d,50,2,0.048320126864539056
ASL,200d,51,2,0.048320126864539056
ASL,200d,52,2,0.048320126864539056
ASL,200d,53,2,0.048320126864539056
ASL,200d,54,2,0.048320126864539056
ASL,200d,55,2,0.048320126864539056
ASL,200d,56,2,0.048320126864539056
ASL,200d,57,2,0.048320126864539056
ASL,200d,58,2,0.048320126864539056
ASL,200d,59,2,0.048320126864539056
ASL,200d,60,2,0.048320126864539056
ASL,200d,61,2,0.048320126864539056
ASL,200d,62,2,0.048320126864539056
ASL,200d,63,2,0.048320126864539056
ASL,200d,64,2,0.048320126864539056
ASL,200d,65,2,0.048320126864539056
ASL,200d,66,2,0.048320126864539056
ASL,200d,67,2,0.048320126864539056
ASL,200d,68,2,0.048320126864539056
ASL,200d,69,2,0.048320126864539056
ASL,200d,70,2,0.048320126864539056
ASL,300d,1,1945,0.00020498097574289933
ASL,300d,2,1941,0.002202299046206213
ASL,300d,3,1932,0.004750312859603073
ASL,300d,4,1875,0.012798280462584726
ASL,300d,5,1746,0.025477555219830833
ASL,300d,6,1468,0.04383846133209014
ASL,300d,7,1017,0.05831505352935374
ASL,300d,8,647,0.05410579615519019
ASL,300d,9,413,0.04146358099985166
ASL,300d,10,274,0.030648247016773395
ASL,300d,11,196,0.015396512922997665
ASL,300d,12,144,0.009897512097393675
ASL,300d,13,112,0.004416331377779107
ASL,300d,14,88,0.0015330633246468898
ASL,300d,15,71,-0.005451684435072533
ASL,300d,16,55,-0.014813526462208279
ASL,300d,17,47,-0.01380060226628904
ASL,300d,18,40,-0.020226325657883303
ASL,300d,19,34,-0.025966767154464273
ASL,300d,20,30,-0.02608715678583345
ASL,300d,21,26,-0.030650608262558224
ASL,300d,22,22,-0.03593967467844559
ASL,300d,23,19,-0.04055339462309411
ASL,300d,24,17,-0.010660704019868622
ASL,300d,25,16,0.0007682704861683703
ASL,300d,26,14,-0.002815704574416305
ASL,300d,27,12,-0.003168760563238935
ASL,300d,28,11,-0.005477144084092558
ASL,300d,29,10,-0.00396855532898298
ASL,300d,30,8,-0.009293454323180444
ASL,300d,31,8,-0.009293454323180444
ASL,300d,32,7,-0.00733036704800455
ASL,300d,33,7,-0.00733036704800455
ASL,300d,34,7,-0.00733036704800455
ASL,300d,35,7,-0.00733036704800455
ASL,300d,36,6,0.006778157227459222
ASL,300d,37,5,0.0036877497218161174
ASL,300d,38,4,0.001575533627025026
ASL,300d,39,4,0.001575533627025026
ASL,300d,40,4,0.001575533627025026
ASL,300d,41,3,-0.002972778210741605
ASL,300d,42,3,-0.002972778210741605
ASL,300d,43,2,0.043313030114278395
ASL,300d,44,2,0.043313030114278395
ASL,300d,45,2,0.043313030114278395
ASL,300d,46,2,0.043313030114278395
ASL,300d,47,2,0.043313030114278395
ASL,300d,48,2,0.043313030114278395
ASL,300d,49,2,0.043313030114278395
ASL,300d,50,2,0.043313030114278395
ASL,300d,51,2,0.043313030114278395
ASL,300d,52,2,0.043313030114278395
ASL,300d,53,2,0.043313030114278395
ASL,300d,54,2,0.043313030114278395
ASL,300d,55,2,0.043313030114278395
ASL,300d,56,2,0.043313030114278395
ASL,300d,57,2,0.043313030114278395
ASL,300d,58,2,0.043313030114278395
ASL,300d,59,2,0.043313030114278395
ASL,300d,60,2,0.043313030114278395
ASL,300d,61,2,0.043313030114278395
ASL,300d,62,2,0.043313030114278395
ASL,300d,63,2,0.043313030114278395
ASL,300d,64,2,0.043313030114278395
ASL,300d,65,2,0.043313030114278395
ASL,300d,66,2,0.043313030114278395
BSL,50d,1,1471,0.0034372274146934135
BSL,50d,2,1431,0.018709390429444802
BSL,50d,3,1258,0.04685197033073196
BSL,50d,4,821,0.09020267349252925
BSL,50d,5,486,0.09345931241092077
BSL,50d,6,302,0.07923423898425572
BSL,50d,7,211,0.0695688842967113
BSL,50d,8,142,0.056511938181560785
BSL,50d,9,106,0.04873483001377246
BSL,50d,10,79,0.0436040717362865
BSL,50d,11,63,0.0377855953784782
BSL,50d,12,54,0.04453077563273576
BSL,50d,13,45,0.040484065153988676
BSL,50d,14,41,0.042348494527085175
BSL,50d,15,33,0.03509731289754425
BSL,50d,16,30,0.03295191971260588
